,pfx_x,pfx_z,launch_speed,release_speed,release_spin_rate,total_movement,strikeout,hbp_bb,home_run,pitch_type_CH,pitch_type_CS,pitch_type_CU,pitch_type_EP,pitch_type_FA,pitch_type_FC,pitch_type_FF,pitch_type_FO,pitch_type_FS,pitch_type_KC,pitch_type_KN,pitch_type_SI,pitch_type_SL,pitch_type_ST,pitch_type_SV
168,0.8933050847457626,0.7623728813559322,83.2,81.7,1654.6271186440679,1.1743961787487136,0.05947136563876652,0.024229074889867842,0.004405286343612335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0.9542857142857143,0.2876190476190476,81.5,85.8,2055.0476190476193,0.9966874841408835,0.0625,0.020833333333333332,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0.7052941176470588,0.145,80.6,81.1,1328.9411764705883,0.72004499330774,0.038461538461538464,0.01282051282051282,0.00641025641025641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0.6531999999999999,0.34,83.1,84.9,1069.38,0.7363900053640055,0.10476190476190476,0.01904761904761905,0.009523809523809525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0.6425714285714286,1.1557142857142857,81.6,84.4,1802.0857142857142,1.3223363985841152,0.037037037037037035,0.037037037037037035,0.018518518518518517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0.6527272727272727,1.1722727272727271,86.4,81.8,1634.2727272727273,1.3417437309968776,0.022988505747126436,0.034482758620689655,0.011494252873563218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,1.443134328358209,0.6980099502487562,83.0,83.6,2199.208955223881,1.6030765983982707,0.059964726631393295,0.015873015873015872,0.005291005291005291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1.0795588235294118,0.5708333333333333,81.8,82.8,1637.8725490196077,1.221187106018014,0.03896103896103896,0.027417027417027416,0.008658008658008658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,1.31,0.2731578947368421,75.1,86.0,1841.4736842105262,1.3381760853703313,0.07058823529411765,0.011764705882352941,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0.9745086705202313,0.32907514450867054,83.6,86.5,1751.7052023121387,1.0285706585609522,0.059375,0.01875,0.00625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,1.3035897435897437,0.7033333333333334,84.7,86.6,1761.7948717948718,1.481223817446287,0.037037037037037035,0.009259259259259259,0.027777777777777776,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
